Variant,ConfigName,n,runtime_med,runtime_iqr,runtime_iqr_ratio,compile_med,compile_iqr,compile_iqr_ratio,size_med
B,EXP_DBL_0102,10,4.634110,0.118689,0.025612,0.306978,0.009616,0.031325,448440
A,EXP_DBL_0742,10,2.009689,0.051459,0.025605,0.319550,0.009925,0.031059,448440
B,EXP_DBL_0039,10,4.737933,0.121190,0.025579,0.311052,0.015044,0.048365,448440
C,EXP_DBL_1103,10,3.824009,0.097633,0.025532,0.320830,0.013706,0.042720,448440
B,EXP_DBL_0366,10,4.918380,0.125507,0.025518,0.312061,0.004280,0.013715,448440
B,EXP_DBL_0230,10,4.780400,0.121974,0.025515,0.309470,0.007981,0.025789,448472
C,EXP_DBL_0585,10,3.807116,0.097119,0.025510,0.308586,0.011446,0.037092,448440
A,EXP_DBL_0962,10,2.040525,0.052054,0.025510,0.320756,0.009640,0.030054,448440
A,EXP_DBL_1183,10,2.035794,0.051929,0.025508,0.316761,0.006958,0.021966,448440
A,EXP_DBL_0911,10,2.044263,0.051993,0.025434,0.334275,0.012261,0.036679,448440
A,EXP_DBL_0737,10,2.009062,0.051074,0.025422,0.311914,0.014588,0.046769,448440
A,EXP_DBL_1256,10,2.052467,0.052156,0.025411,0.323650,0.004880,0.015078,448440
A,EXP_DBL_0854,10,2.019566,0.051317,0.025410,0.332210,0.013412,0.040372,448440
C,EXP_DBL_0655,10,3.706002,0.094136,0.025401,0.306128,0.009188,0.030014,448440
A,EXP_DBL_1259,10,2.031523,0.051578,0.025389,0.324978,0.007722,0.023762,448376
C,EXP_DBL_0299,10,3.667666,0.093107,0.025386,0.302700,0.020388,0.067354,448440
C,EXP_DBL_0466,10,3.676071,0.093296,0.025379,0.310114,0.007618,0.024565,448440
B,EXP_DBL_0877,10,4.933625,0.125190,0.025375,0.327056,0.013775,0.042118,448440
C,EXP_DBL_1411,10,4.011093,0.101744,0.025366,0.336691,0.005062,0.015035,448440
A,EXP_DBL_1300,10,1.871332,0.047466,0.025365,0.317733,0.009803,0.030853,448440
A,EXP_DBL_0628,10,2.022281,0.051271,0.025353,0.313136,0.010572,0.033762,448424
C,EXP_DBL_1213,10,3.927194,0.099557,0.025351,0.316806,0.013226,0.041748,448440
A,EXP_DBL_1017,10,2.047149,0.051885,0.025345,0.314312,0.007317,0.023279,448440
A,EXP_DBL_0585,10,2.028761,0.051398,0.025335,0.308586,0.011446,0.037092,448440
A,EXP_DBL_0779,10,2.045799,0.051828,0.025334,0.311122,0.014631,0.047027,448440
B,EXP_DBL_0198,10,4.580831,0.116036,0.025331,0.309125,0.013782,0.044584,448440
C,EXP_DBL_1049,10,3.856146,0.097672,0.025329,0.315171,0.010504,0.033328,448440
C,EXP_DBL_1058,10,3.835048,0.097133,0.025328,0.316663,0.005035,0.015900,448440
B,EXP_DBL_0404,10,4.986187,0.126239,0.025318,0.311731,0.022311,0.071571,448472
C,EXP_DBL_0980,10,3.892373,0.098482,0.025301,0.316487,0.008670,0.027394,448440
C,EXP_DBL_0482,10,3.751597,0.094877,0.025290,0.305061,0.017537,0.057487,448440
C,EXP_DBL_1154,10,3.877962,0.098065,0.025288,0.317137,0.019168,0.060441,448440
C,EXP_DBL_1056,10,3.867618,0.097740,0.025271,0.314524,0.013012,0.041370,448440
B,EXP_DBL_0241,10,4.659159,0.117723,0.025267,0.313897,0.012203,0.038876,448440
A,EXP_DBL_0795,10,2.034382,0.051381,0.025256,0.321198,0.006768,0.021071,448440
C,EXP_DBL_1508,10,3.875026,0.097853,0.025252,0.311304,0.013074,0.041998,448376
B,EXP_DBL_1626,10,4.912020,0.124016,0.025247,0.312322,0.005732,0.018353,448440
A,EXP_DBL_1039,10,2.056278,0.051830,0.025206,0.313675,0.008199,0.026139,448440
A,EXP_DBL_0609,10,2.045025,0.051546,0.025206,0.311397,0.017075,0.054834,448440
C,EXP_DBL_0590,10,3.809926,0.096025,0.025204,0.306876,0.008477,0.027624,448440
