Variant,ConfigName,n,runtime_mean,runtime_med,runtime_iqr,compile_mean,compile_med,compile_iqr,size_mean,size_med,alloca_mean,alloca_med,load_mean,load_med,store_mean,store_med,gep_mean,gep_med,phi_mean,phi_med,bb_mean,bb_med
words5000_superhaystack:default_standard,EXP_DBL_1073,10,11.232238,11.226841,0.046262,34.617198,34.617198,0.000000,18697728.000000,18697728,5397.000000,5397,37174.000000,37174,23250.000000,23250,44971.000000,44971,22484.000000,22484,1555.000000,1555
words5000_superhaystack:default_standard,EXP_DBL_1074,10,11.263668,11.250421,0.052930,34.548015,34.548015,0.000000,18697352.000000,18697352,5397.000000,5397,37174.000000,37174,23250.000000,23250,44971.000000,44971,22484.000000,22484,1555.000000,1555
words5000_superhaystack:default_standard,EXP_DBL_1075,10,11.235921,11.221643,0.031503,34.627859,34.627859,0.000000,18697728.000000,18697728,5397.000000,5397,37174.000000,37174,23250.000000,23250,44971.000000,44971,22484.000000,22484,1555.000000,1555
words5000_superhaystack:default_standard,EXP_DBL_1076,10,11.266259,11.259250,0.039105,34.654006,34.654006,0.000000,18804200.000000,18804200,5397.000000,5397,37174.000000,37174,23250.000000,23250,44971.000000,44971,22484.000000,22484,1555.000000,1555
words5000_superhaystack:default_standard,EXP_DBL_1077,10,11.233292,11.230711,0.043408,34.081740,34.081740,0.000000,18697728.000000,18697728,5397.000000,5397,37174.000000,37174,23250.000000,23250,44971.000000,44971,22484.000000,22484,1555.000000,1555
words5000_superhaystack:default_standard,EXP_DBL_1078,10,11.220041,11.219963,0.047027,34.322912,34.322912,0.000000,18768912.000000,18768912,5397.000000,5397,37174.000000,37174,23250.000000,23250,44971.000000,44971,22484.000000,22484,1555.000000,1555
words5000_superhaystack:default_standard,EXP_DBL_1079,10,11.250119,11.244383,0.024074,34.651088,34.651088,0.000000,18697352.000000,18697352,5397.000000,5397,37174.000000,37174,23250.000000,23250,44971.000000,44971,22484.000000,22484,1555.000000,1555
words5000_superhaystack:default_standard,EXP_DBL_1080,10,11.082375,11.067221,0.058506,35.021656,35.021656,0.000000,18602512.000000,18602512,5401.000000,5401,37042.000000,37042,23284.000000,23284,45210.000000,45210,22819.000000,22819,1552.000000,1552
words5000_superhaystack:default_standard,EXP_DBL_1081,10,11.514456,11.516894,0.033394,34.918523,34.918523,0.000000,18602904.000000,18602904,5401.000000,5401,37042.000000,37042,23284.000000,23284,45210.000000,45210,22819.000000,22819,1552.000000,1552
words5000_superhaystack:default_standard,EXP_DBL_1082,10,11.525463,11.525438,0.036831,35.206220,35.206220,0.000000,18602880.000000,18602880,5401.000000,5401,37042.000000,37042,23284.000000,23284,45210.000000,45210,22819.000000,22819,1552.000000,1552
words5000_superhaystack:default_standard,EXP_DBL_1083,10,11.525258,11.523160,0.027636,34.952841,34.952841,0.000000,18602864.000000,18602864,5401.000000,5401,37042.000000,37042,23284.000000,23284,45210.000000,45210,22819.000000,22819,1552.000000,1552
words5000_superhaystack:default_standard,EXP_DBL_1084,10,11.077326,11.061841,0.035622,35.162574,35.162574,0.000000,18602496.000000,18602496,5401.000000,5401,37042.000000,37042,23284.000000,23284,45210.000000,45210,22819.000000,22819,1552.000000,1552
