Variant,ConfigName,n,wall_mean,wall_med,wall_iqr,wall_iqr_ratio,compile_mean,compile_med,compile_iqr,compile_iqr_ratio,size_mean,size_med
rustls,EXP_DBL_0530,10,10.838003,10.822638,0.058099,0.005368,69.596840,69.596840,0.000000,0.000000,4307712.000000,4307712
rustls,EXP_DBL_0627,10,10.834635,10.817336,0.057913,0.005354,69.326112,69.326112,0.000000,0.000000,4309536.000000,4309536
rustls,EXP_DBL_1204,10,10.864897,10.849528,0.058070,0.005352,71.496146,71.496146,0.000000,0.000000,4304624.000000,4304624
rustls,EXP_DBL_0670,10,10.812969,10.793750,0.057748,0.005350,70.761840,70.761840,0.000000,0.000000,4311656.000000,4311656
rustls,EXP_ABL_015_MatchBranchSimplification,10,10.868193,10.850169,0.058035,0.005349,69.893782,69.893782,0.000000,0.000000,4304624.000000,4304624
rustls,EXP_DBL_1052,10,10.834200,10.821440,0.057603,0.005323,69.754934,69.754934,0.000000,0.000000,4309416.000000,4309416
rustls,EXP_DBL_1172,10,10.870064,10.864736,0.057801,0.005320,69.382718,69.382718,0.000000,0.000000,4305224.000000,4305224
rustls,EXP_DBL_0760,10,10.826776,10.815866,0.057419,0.005309,69.148655,69.148655,0.000000,0.000000,4311168.000000,4311168
rustls,EXP_DBL_0890,10,10.872385,10.851378,0.057547,0.005303,71.171971,71.171971,0.000000,0.000000,4392728.000000,4392728
rustls,EXP_DBL_0596,10,10.830144,10.815538,0.057235,0.005292,70.002758,70.002758,0.000000,0.000000,4309504.000000,4309504
rustls,EXP_DBL_0718,10,10.836630,10.809856,0.057176,0.005289,69.930110,69.930110,0.000000,0.000000,4315016.000000,4315016
rustls,EXP_DBL_0290,10,10.853849,10.839783,0.057312,0.005287,70.967552,70.967552,0.000000,0.000000,4318816.000000,4318816
rustls,EXP_DBL_0701,10,10.833649,10.838201,0.057290,0.005286,70.817635,70.817635,0.000000,0.000000,4311656.000000,4311656
rustls,EXP_DBL_1186,10,10.863324,10.845822,0.057232,0.005277,71.373417,71.373417,0.000000,0.000000,4304624.000000,4304624
rustls,EXP_DBL_0224,10,10.835062,10.819847,0.057039,0.005272,69.894062,69.894062,0.000000,0.000000,4311496.000000,4311496
rustls,EXP_DBL_1655,10,10.862283,10.841498,0.057068,0.005264,70.178881,70.178881,0.000000,0.000000,4309440.000000,4309440
rustls,EXP_DBL_0864,10,10.879778,10.856019,0.057090,0.005259,72.644225,72.644225,0.000000,0.000000,4392728.000000,4392728
rustls,EXP_DBL_1316,10,10.841687,10.825773,0.056681,0.005236,69.886782,69.886782,0.000000,0.000000,4294408.000000,4294408
rustls,EXP_DBL_0379,10,10.839717,10.825464,0.056665,0.005234,69.612754,69.612754,0.000000,0.000000,4311392.000000,4311392
rustls,EXP_DBL_0537,10,10.834330,10.830467,0.056672,0.005233,69.741424,69.741424,0.000000,0.000000,4309504.000000,4309504
rustls,EXP_DBL_0797,10,10.839723,10.821157,0.056628,0.005233,69.687505,69.687505,0.000000,0.000000,4307840.000000,4307840
rustls,EXP_DBL_0679,10,10.828737,10.797189,0.056497,0.005233,69.280042,69.280042,0.000000,0.000000,4311656.000000,4311656
rustls,EXP_DBL_1342,10,10.850020,10.835172,0.056652,0.005229,69.566497,69.566497,0.000000,0.000000,4293064.000000,4293064
rustls,EXP_DBL_1188,10,10.860479,10.844017,0.056688,0.005228,70.661118,70.661118,0.000000,0.000000,4304624.000000,4304624
rustls,EXP_DBL_0385,10,10.836230,10.827786,0.056416,0.005210,70.238869,70.238869,0.000000,0.000000,4312992.000000,4312992
rustls,EXP_DBL_0017,10,10.873166,10.859314,0.056501,0.005203,69.447834,69.447834,0.000000,0.000000,4265064.000000,4265064
rustls,EXP_DBL_1257,10,10.859176,10.835835,0.056213,0.005188,70.826485,70.826485,0.000000,0.000000,4294408.000000,4294408
rustls,EXP_DBL_0123,10,10.838711,10.830531,0.056100,0.005180,70.092913,70.092913,0.000000,0.000000,4308928.000000,4308928
rustls,EXP_DBL_0368,10,10.831022,10.808414,0.055948,0.005176,70.893562,70.893562,0.000000,0.000000,4312992.000000,4312992
rustls,EXP_DBL_1416,10,10.848127,10.824888,0.055899,0.005164,70.514427,70.514427,0.000000,0.000000,4308232.000000,4308232
rustls,EXP_DBL_1197,10,10.863847,10.843220,0.055953,0.005160,71.898660,71.898660,0.000000,0.000000,4304624.000000,4304624
rustls,EXP_DBL_0912,10,10.878312,10.873577,0.056093,0.005159,71.843692,71.843692,0.000000,0.000000,4407448.000000,4407448
rustls,EXP_DBL_0875,10,10.888471,10.883456,0.056139,0.005158,71.501471,71.501471,0.000000,0.000000,4395160.000000,4395160
rustls,EXP_DBL_0713,10,10.805844,10.791547,0.055618,0.005154,69.488105,69.488105,0.000000,0.000000,4311656.000000,4311656
rustls,EXP_001_DISABLE_ALL,10,11.001138,10.976964,0.056481,0.005145,66.959052,66.959052,0.000000,0.000000,4484984.000000,4484984
rustls,EXP_DBL_1507,10,10.906232,10.843979,0.055590,0.005126,69.249263,69.249263,0.000000,0.000000,4310248.000000,4310248
rustls,EXP_DBL_1622,10,10.859479,10.843432,0.055579,0.005126,70.355813,70.355813,0.000000,0.000000,4313024.000000,4313024
rustls,EXP_DBL_0868,10,10.889006,10.876526,0.055651,0.005117,72.237654,72.237654,0.000000,0.000000,4392760.000000,4392760
rustls,EXP_DBL_1363,10,10.830842,10.821665,0.055319,0.005112,69.506685,69.506685,0.000000,0.000000,4310856.000000,4310856
rustls,EXP_DBL_1391,10,10.847660,10.834277,0.055222,0.005097,70.387890,70.387890,0.000000,0.000000,4310688.000000,4310688
rustls,EXP_DBL_1529,10,10.845743,10.830171,0.055120,0.005089,69.833259,69.833259,0.000000,0.000000,4309192.000000,4309192
