Variant,ConfigName,n,wall_mean,wall_med,wall_iqr,compile_mean,compile_med,compile_iqr,size_mean,size_med
rustls,EXP_DBL_1583,10,10.834315,10.814158,0.044328,77.668518,77.668518,0.000000,4310384.000000,4310384
rustls,EXP_DBL_1584,10,10.860664,10.846457,0.076770,76.805445,76.805445,0.000000,4310384.000000,4310384
rustls,EXP_DBL_1585,10,10.856420,10.838884,0.065880,76.830019,76.830019,0.000000,4310384.000000,4310384
rustls,EXP_DBL_1586,10,10.820394,10.802522,0.024472,77.088502,77.088502,0.000000,4305392.000000,4305392
rustls,EXP_DBL_1587,10,10.839645,10.810483,0.065611,77.813843,77.813843,0.000000,4310944.000000,4310944
rustls,EXP_DBL_1588,10,10.840599,10.820230,0.038702,77.196552,77.196552,0.000000,4307952.000000,4307952
rustls,EXP_DBL_1589,10,10.841330,10.830087,0.060214,76.589103,76.589103,0.000000,4310384.000000,4310384
rustls,EXP_DBL_1590,10,10.822123,10.813930,0.033179,76.669712,76.669712,0.000000,4312048.000000,4312048
rustls,EXP_DBL_1591,10,10.859813,10.834732,0.063239,78.253980,78.253980,0.000000,4292784.000000,4292784
rustls,EXP_DBL_1592,10,10.850064,10.827721,0.051547,77.443301,77.443301,0.000000,4310384.000000,4310384
rustls,EXP_DBL_1593,10,10.841394,10.813667,0.045534,78.468290,78.468290,0.000000,4310736.000000,4310736
rustls,EXP_DBL_1594,10,10.843850,10.821071,0.019470,76.790005,76.790005,0.000000,4262480.000000,4262480
rustls,EXP_DBL_1595,10,10.856474,10.833860,0.022331,76.756489,76.756489,0.000000,4319376.000000,4319376
rustls,EXP_DBL_1596,10,10.852617,10.821088,0.034973,78.021194,78.021194,0.000000,4310416.000000,4310416
rustls,EXP_DBL_1597,10,10.827052,10.807662,0.036366,77.089545,77.089545,0.000000,4310288.000000,4310288
rustls,EXP_DBL_1598,10,10.854488,10.826441,0.087197,78.622261,78.622261,0.000000,4310384.000000,4310384
rustls,EXP_DBL_1599,10,10.834523,10.814760,0.031322,77.556124,77.556124,0.000000,4310384.000000,4310384
rustls,EXP_DBL_1600,10,10.846313,10.836353,0.038343,75.716824,75.716824,0.000000,4308048.000000,4308048
rustls,EXP_DBL_1601,10,10.834848,10.822715,0.025569,76.349199,76.349199,0.000000,4310384.000000,4310384
rustls,EXP_DBL_1602,10,10.840383,10.826168,0.022728,77.224845,77.224845,0.000000,4310384.000000,4310384
rustls,EXP_DBL_1603,10,10.835832,10.826782,0.053825,77.672707,77.672707,0.000000,4310384.000000,4310384
rustls,EXP_DBL_1604,10,10.841098,10.822150,0.041932,76.174400,76.174400,0.000000,4310384.000000,4310384
rustls,EXP_DBL_1605,10,10.840598,10.816550,0.023943,76.327571,76.327571,0.000000,4310384.000000,4310384
rustls,EXP_DBL_1606,10,10.846007,10.822154,0.043232,76.718855,76.718855,0.000000,4310384.000000,4310384
rustls,EXP_DBL_1607,10,10.841530,10.811313,0.031374,76.370463,76.370463,0.000000,4310384.000000,4310384
rustls,EXP_DBL_1608,10,10.837698,10.820060,0.021030,77.620983,77.620983,0.000000,4310384.000000,4310384
rustls,EXP_DBL_1609,10,10.857833,10.833108,0.036338,77.080601,77.080601,0.000000,4308592.000000,4308592
rustls,EXP_DBL_1610,10,10.868064,10.833194,0.112865,76.841443,76.841443,0.000000,4310416.000000,4310416
rustls,EXP_DBL_1611,10,10.855803,10.821675,0.051228,76.030377,76.030377,0.000000,4310384.000000,4310384
rustls,EXP_DBL_1612,10,10.856351,10.836865,0.017484,76.869226,76.869226,0.000000,4310384.000000,4310384
rustls,EXP_DBL_1613,10,10.878421,10.841249,0.021622,76.648257,76.648257,0.000000,4310384.000000,4310384
rustls,EXP_DBL_1614,10,10.859734,10.836762,0.017739,76.854777,76.854777,0.000000,4310352.000000,4310352
rustls,EXP_DBL_1615,10,10.845971,10.839091,0.034964,75.869178,75.869178,0.000000,4310480.000000,4310480
rustls,EXP_DBL_1616,10,10.856735,10.839591,0.040434,76.863846,76.863846,0.000000,4310384.000000,4310384
rustls,EXP_DBL_1617,10,10.864192,10.835665,0.028627,76.582124,76.582124,0.000000,4309776.000000,4309776
rustls,EXP_DBL_1618,10,10.859315,10.832159,0.067649,76.591378,76.591378,0.000000,4311504.000000,4311504
rustls,EXP_DBL_1619,10,10.842306,10.824471,0.028360,76.883167,76.883167,0.000000,4310384.000000,4310384
rustls,EXP_DBL_1620,10,10.853433,10.824502,0.058426,77.726187,77.726187,0.000000,4310384.000000,4310384
rustls,EXP_DBL_1621,10,10.840512,10.807053,0.066020,77.439128,77.439128,0.000000,4310384.000000,4310384
rustls,EXP_DBL_1622,10,10.828833,10.807340,0.033585,76.086920,76.086920,0.000000,4314032.000000,4314032
rustls,EXP_DBL_1623,10,10.827761,10.811725,0.035151,76.976932,76.976932,0.000000,4310384.000000,4310384
rustls,EXP_DBL_1624,10,10.837104,10.808598,0.067034,76.728186,76.728186,0.000000,4308560.000000,4308560
rustls,EXP_DBL_1625,10,10.841931,10.830313,0.074633,76.210848,76.210848,0.000000,4310384.000000,4310384
rustls,EXP_DBL_1626,10,10.840061,10.825253,0.022952,76.913072,76.913072,0.000000,4310384.000000,4310384
rustls,EXP_DBL_1627,10,10.828813,10.807921,0.020308,76.496877,76.496877,0.000000,4308720.000000,4308720
rustls,EXP_DBL_1628,10,10.829484,10.812411,0.047031,76.249839,76.249839,0.000000,4310512.000000,4310512
rustls,EXP_DBL_1629,10,10.844909,10.828209,0.025386,76.370593,76.370593,0.000000,4310384.000000,4310384
rustls,EXP_DBL_1630,10,10.833084,10.806693,0.034656,76.612861,76.612861,0.000000,4310384.000000,4310384
rustls,EXP_DBL_1631,10,10.831141,10.816623,0.027875,78.281520,78.281520,0.000000,4313552.000000,4313552
rustls,EXP_DBL_1632,10,10.843094,10.827665,0.032654,77.535446,77.535446,0.000000,4310384.000000,4310384
rustls,EXP_DBL_1633,10,10.841594,10.811387,0.080594,76.506550,76.506550,0.000000,4310384.000000,4310384
rustls,EXP_DBL_1634,10,10.830886,10.816939,0.046012,77.144458,77.144458,0.000000,4310384.000000,4310384
rustls,EXP_DBL_1635,10,10.840649,10.826821,0.036886,76.186452,76.186452,0.000000,4310384.000000,4310384
rustls,EXP_DBL_1636,10,10.838955,10.812071,0.048271,75.911600,75.911600,0.000000,4310384.000000,4310384
rustls,EXP_DBL_1637,10,10.836142,10.808608,0.054622,76.199141,76.199141,0.000000,4310384.000000,4310384
rustls,EXP_DBL_1638,10,10.828058,10.822581,0.018177,75.810707,75.810707,0.000000,4310384.000000,4310384
rustls,EXP_DBL_1639,10,10.844992,10.822801,0.021475,76.434379,76.434379,0.000000,4310384.000000,4310384
rustls,EXP_DBL_1640,10,10.834188,10.813903,0.011417,76.348045,76.348045,0.000000,4310472.000000,4310472
rustls,EXP_DBL_1641,10,10.839911,10.821834,0.021424,75.860856,75.860856,0.000000,4365144.000000,4365144
rustls,EXP_DBL_1642,10,10.839062,10.824345,0.038316,77.071329,77.071329,0.000000,4310384.000000,4310384
rustls,EXP_DBL_1643,10,10.855452,10.835377,0.081361,79.750045,79.750045,0.000000,4310384.000000,4310384
rustls,EXP_DBL_1644,10,10.855381,10.832182,0.075411,76.230772,76.230772,0.000000,4310384.000000,4310384
rustls,EXP_DBL_1645,10,10.826605,10.810212,0.026255,76.933508,76.933508,0.000000,4310384.000000,4310384
rustls,EXP_DBL_1646,10,10.842237,10.818924,0.057483,77.653055,77.653055,0.000000,4310384.000000,4310384
rustls,EXP_DBL_1647,10,10.846604,10.819738,0.048531,77.161276,77.161276,0.000000,4310384.000000,4310384
rustls,EXP_DBL_1648,10,10.853748,10.820855,0.060981,76.799309,76.799309,0.000000,4310384.000000,4310384
