Source,Target,Type,Weight,Stability,SelectedBy,Count
InstSimplify-after-simplifycfg,cgp-select2branch,Interaction,0.011803134809617699,1.0,anova_auto,10
EnumSizeOpt,cgp-delete-phis,Interaction,-0.011770062471662346,1.0,anova_auto,10
DeadStoreElimination-initial,cfi-fixup,Interaction,-0.0117239921145047,1.0,anova_auto,10
InstSimplify-before-inline,early-ifcvt,Interaction,0.011675743211439826,1.0,anova_auto,10
ImpossiblePredicates,postra-machine-licm,Interaction,-0.011646886606980988,1.0,anova_auto,10
CopyProp,cgp,Interaction,0.011570400178056772,1.0,anova_auto,10
DeadStoreElimination-final,cfi-fixup,Interaction,0.011526128509431022,1.0,anova_auto,10
InstSimplify-before-inline,chr,Interaction,0.011524768569112442,1.0,anova_auto,10
DestinationPropagation,select-optimize,Interaction,0.011522613780331259,1.0,anova_auto,10
ReferencePropagation,nofree-inference,Interaction,-0.011502102393084801,1.0,anova_auto,10
InstSimplify-before-inline,i2p-p2i-opt,Interaction,0.011467704201207685,1.0,anova_auto,10
DataflowConstProp,cgp-ext-ld-promotion,Interaction,0.011435272481676861,1.0,anova_auto,10
DeadStoreElimination-initial,cgp-store-extract,Interaction,0.01141050169911706,1.0,anova_auto,10
DeadStoreElimination-final,thinlto-funcattrs,Interaction,-0.01140772100606835,1.0,anova_auto,10
SingleUseConsts,tail-duplicate,Interaction,-0.011372147038741343,1.0,anova_auto,10
Inline,loop-idiom-vectorize-all,Interaction,0.011352260519220447,1.0,anova_auto,10
CopyProp,licm-promotion,Interaction,0.011332540714040995,1.0,anova_auto,10
ForceInline,replace-with-vec-lib,Interaction,0.01132169054970733,1.0,anova_auto,10
ScalarReplacementOfAggregates,separate-const-offset-from-gep,Interaction,-0.011246521578971436,1.0,anova_auto,10
InstSimplify-after-simplifycfg,i2p-p2i-opt,Interaction,-0.011242497428235687,1.0,anova_auto,10
UnreachableEnumBranching,global-outlining,Interaction,0.011197723624747358,1.0,anova_auto,10
SingleUseConsts,loop-idiom-vectorize-bytecmp,Interaction,-0.01116587664320523,1.0,anova_auto,10
DeadStoreElimination-initial,global-outlining,Interaction,-0.011148282860246272,1.0,anova_auto,10
