Variant,ConfigName,n,runtime_mean,runtime_med,runtime_iqr,compile_mean,compile_med,compile_iqr,size_mean,size_med
bat,EXP_DBL_1074,10,23.346999,23.371002,0.136005,192.013083,192.013083,0.000000,6604264.000000,6604264
bat,EXP_DBL_1075,10,23.457804,23.495719,0.248153,192.127253,192.127253,0.000000,6604264.000000,6604264
bat,EXP_DBL_1076,10,23.717122,23.746004,0.190488,192.563912,192.563912,0.000000,6680680.000000,6680680
bat,EXP_DBL_1077,10,23.562175,23.531950,0.178223,190.932689,190.932689,0.000000,6604264.000000,6604264
bat,EXP_DBL_1078,10,24.098236,24.040693,0.174363,191.603519,191.603519,0.000000,6631720.000000,6631720
bat,EXP_DBL_1079,10,23.754208,23.753620,0.320243,195.530095,195.530095,0.000000,6604264.000000,6604264
bat,EXP_DBL_1080,10,23.340330,23.337623,0.146819,196.527803,196.527803,0.000000,6623656.000000,6623656
bat,EXP_DBL_1081,10,23.673184,23.598895,0.249890,191.767691,191.767691,0.000000,6623976.000000,6623976
bat,EXP_DBL_1082,10,23.482513,23.453857,0.120338,194.278465,194.278465,0.000000,6623656.000000,6623656
bat,EXP_DBL_1083,10,23.268391,23.291269,0.133350,194.188855,194.188855,0.000000,6623656.000000,6623656
bat,EXP_DBL_1084,10,23.299102,23.248823,0.277999,193.623967,193.623967,0.000000,6623656.000000,6623656
bat,EXP_DBL_1085,10,23.364985,23.377534,0.124811,193.854499,193.854499,0.000000,6623656.000000,6623656
bat,EXP_DBL_1086,10,23.474948,23.359408,0.267988,193.339569,193.339569,0.000000,6623656.000000,6623656
bat,EXP_DBL_1087,10,23.261303,23.235484,0.119809,192.452288,192.452288,0.000000,6623720.000000,6623720
bat,EXP_DBL_1088,10,23.396892,23.366008,0.188965,191.396426,191.396426,0.000000,6616424.000000,6616424
bat,EXP_DBL_1089,10,23.383279,23.328198,0.155629,191.165913,191.165913,0.000000,6621128.000000,6621128
bat,EXP_DBL_1090,10,23.767918,23.701981,0.151792,190.461230,190.461230,0.000000,6617416.000000,6617416
bat,EXP_DBL_1091,10,23.199926,23.176198,0.219242,191.121725,191.121725,0.000000,6623656.000000,6623656
bat,EXP_DBL_1092,10,23.534279,23.496712,0.172314,185.018748,185.018748,0.000000,6614408.000000,6614408
bat,EXP_DBL_1093,10,23.633069,23.447097,0.217164,190.023125,190.023125,0.000000,6601864.000000,6601864
bat,EXP_DBL_1094,10,23.321995,23.314681,0.294386,190.754418,190.754418,0.000000,6623848.000000,6623848
bat,EXP_DBL_1095,10,23.628709,23.640809,0.254846,190.708463,190.708463,0.000000,6623240.000000,6623240
bat,EXP_DBL_1096,10,23.892579,23.886366,0.170982,189.408481,189.408481,0.000000,6514792.000000,6514792
bat,EXP_DBL_1097,10,23.294981,23.270256,0.156950,191.039726,191.039726,0.000000,6649640.000000,6649640
bat,EXP_DBL_1098,10,23.268699,23.261747,0.176491,191.411388,191.411388,0.000000,6623016.000000,6623016
bat,EXP_DBL_1099,10,23.273667,23.249591,0.261152,191.427763,191.427763,0.000000,6623176.000000,6623176
bat,EXP_DBL_1100,10,23.256197,23.234746,0.147713,190.927615,190.927615,0.000000,6623656.000000,6623656
bat,EXP_DBL_1101,10,23.391828,23.302436,0.358187,191.519066,191.519066,0.000000,6623656.000000,6623656
bat,EXP_DBL_1102,10,23.439506,23.426322,0.157021,191.105867,191.105867,0.000000,6622440.000000,6622440
bat,EXP_DBL_1103,10,23.383547,23.334250,0.155717,191.630379,191.630379,0.000000,6623656.000000,6623656
bat,EXP_DBL_1104,10,23.377183,23.322985,0.381804,191.592621,191.592621,0.000000,6623656.000000,6623656
bat,EXP_DBL_1105,10,23.610295,23.696502,0.500502,193.392339,193.392339,0.000000,6623656.000000,6623656
bat,EXP_DBL_1106,10,23.361686,23.294326,0.218812,193.245197,193.245197,0.000000,6623656.000000,6623656
bat,EXP_DBL_1107,10,23.397801,23.337712,0.160514,193.643947,193.643947,0.000000,6623656.000000,6623656
bat,EXP_DBL_1108,10,23.466441,23.392461,0.244391,193.946824,193.946824,0.000000,6623656.000000,6623656
bat,EXP_DBL_1109,10,23.562354,23.543426,0.500858,194.446273,194.446273,0.000000,6623656.000000,6623656
bat,EXP_DBL_1110,10,23.503978,23.408819,0.488020,194.018822,194.018822,0.000000,6623656.000000,6623656
bat,EXP_DBL_1111,10,23.556144,23.458163,0.347942,195.979567,195.979567,0.000000,6620968.000000,6620968
bat,EXP_DBL_1112,10,23.311169,23.330068,0.091744,191.007973,191.007973,0.000000,6624584.000000,6624584
bat,EXP_DBL_1113,10,23.254302,23.200455,0.256556,190.448521,190.448521,0.000000,6623656.000000,6623656
bat,EXP_DBL_1114,10,23.230701,23.214818,0.156024,191.446399,191.446399,0.000000,6623656.000000,6623656
bat,EXP_DBL_1115,10,23.390628,23.478096,0.301899,189.270525,189.270525,0.000000,6623656.000000,6623656
bat,EXP_DBL_1116,10,23.402447,23.392083,0.239889,188.762471,188.762471,0.000000,6623464.000000,6623464
bat,EXP_DBL_1117,10,23.482869,23.443828,0.123865,188.899009,188.899009,0.000000,6623816.000000,6623816
bat,EXP_DBL_1118,10,23.236017,23.194550,0.201575,188.824564,188.824564,0.000000,6623656.000000,6623656
bat,EXP_DBL_1119,10,23.359598,23.408983,0.145579,187.576439,187.576439,0.000000,6622248.000000,6622248
bat,EXP_DBL_1120,10,23.870989,23.916949,0.256649,187.220805,187.220805,0.000000,6627368.000000,6627368
bat,EXP_DBL_1121,10,23.305651,23.304572,0.035280,187.700542,187.700542,0.000000,6623656.000000,6623656
bat,EXP_DBL_1122,10,23.484738,23.451130,0.147810,188.163897,188.163897,0.000000,6623656.000000,6623656
bat,EXP_DBL_1123,10,23.226808,23.221050,0.168652,188.027693,188.027693,0.000000,6623656.000000,6623656
bat,EXP_DBL_1124,10,23.700179,23.722648,0.285722,187.379215,187.379215,0.000000,6630728.000000,6630728
bat,EXP_DBL_1125,10,23.499668,23.429521,0.174517,187.718525,187.718525,0.000000,6624712.000000,6624712
bat,EXP_DBL_1126,10,23.792285,23.704496,0.212433,187.154583,187.154583,0.000000,6616872.000000,6616872
bat,EXP_DBL_1127,10,23.418787,23.373182,0.227405,187.935989,187.935989,0.000000,6623656.000000,6623656
bat,EXP_DBL_1128,10,23.263788,23.290888,0.284697,188.229588,188.229588,0.000000,6623656.000000,6623656
bat,EXP_DBL_1129,10,23.506451,23.485527,0.177358,187.687004,187.687004,0.000000,6618120.000000,6618120
bat,EXP_DBL_1130,10,23.750070,23.710799,0.150324,190.046485,190.046485,0.000000,6624136.000000,6624136
bat,EXP_DBL_1131,10,23.198774,23.211176,0.127181,188.335560,188.335560,0.000000,6623656.000000,6623656
bat,EXP_DBL_1132,10,23.176157,23.164448,0.101030,189.043837,189.043837,0.000000,6623656.000000,6623656
bat,EXP_DBL_1133,10,23.439979,23.376545,0.272764,188.905550,188.905550,0.000000,6638056.000000,6638056
bat,EXP_DBL_1134,10,23.277731,23.270381,0.161440,188.747821,188.747821,0.000000,6623656.000000,6623656
bat,EXP_DBL_1135,10,23.326914,23.308437,0.157923,188.138590,188.138590,0.000000,6623656.000000,6623656
bat,EXP_DBL_1136,10,23.240018,23.206028,0.163601,188.851114,188.851114,0.000000,6623656.000000,6623656
bat,EXP_DBL_1137,10,23.361922,23.359043,0.190796,189.808918,189.808918,0.000000,6623656.000000,6623656
bat,EXP_DBL_1138,10,23.261982,23.192863,0.212362,189.546886,189.546886,0.000000,6623656.000000,6623656
