Source,Target,Type,Weight,Stability
ReferencePropagation,tail-calls,Interaction,0.3914430022534483,0.5
UnreachableEnumBranching,ifcvt-simple-false,Interaction,-0.3907522841877198,0.5
ForceInline,post-ra,Interaction,-0.38959759228782564,0.5
ReferencePropagation,partial-inlining,Interaction,0.3891919432660653,0.5
DestinationPropagation,interleaved-load-combine,Interaction,-0.389108666003521,0.5
ForceInline,phi-elim-edge-splitting,Interaction,-0.38892203308686235,0.5
UnreachableEnumBranching,expand-reductions,Interaction,0.3888972196113174,0.5
ForceInline,chr,Interaction,-0.3886990816310629,0.5
DataflowConstProp,ra-fsprofile-loader,Interaction,-0.3872896589377983,0.5
InstSimplify-after-simplifycfg,global-outlining,Interaction,0.3871512985450911,0.5
ForceInline,peephole,Interaction,-0.38645031766237414,0.5
GVN,lftr,Interaction,-0.3863325496580532,0.5
ForceInline,constant-hoisting,Interaction,-0.38522063862309497,0.5
ImpossiblePredicates,last-run-tracking,Interaction,-0.38421473603830414,0.5
ImpossiblePredicates,cgp-select2branch,Interaction,-0.38319852028438794,0.5
InstSimplify-after-simplifycfg,early-ifcvt,Interaction,0.38278362044240466,0.5
JumpThreading,ifcvt-diamond,Interaction,0.38210601334028915,0.5
CopyProp,ifcvt-simple-false,Interaction,-0.3819097493891843,0.5
DataflowConstProp,cgp-delete-phis,Interaction,-0.3818955683931975,0.5
DeadStoreElimination-final,partial-inlining,Interaction,0.3807427190726709,0.5
GVN,i2p-p2i-opt,Interaction,-0.3796521707639162,0.5
CopyProp,separate-const-offset-from-gep,Interaction,-0.37914135284270456,0.5
DeadStoreElimination-initial,block-placement,Interaction,-0.378977291769343,0.5
UnreachableEnumBranching,cfi-fixup,Interaction,-0.37581621779312235,0.5
ReferencePropagation,expand-reductions,Interaction,0.3750651930777642,0.5
ForceInline,ifcvt-triangle-rev,Interaction,-0.37500307061852123,0.5
DeadStoreElimination-final,tail-calls,Interaction,0.3748186380275784,0.5
UnreachablePropagation,block-placement,Interaction,-0.3742045461403649,0.5
DeadStoreElimination-final,nounwind-inference,Interaction,0.37325706633722944,0.5
InstSimplify-after-simplifycfg,lftr,Interaction,-0.37249588789334465,0.5
