Variant,ConfigName,n,wall_mean,wall_med,wall_iqr,ns_mean,ns_med,ns_iqr,mbps_mean,mbps_med,mbps_iqr,compile_mean,compile_med,compile_iqr,size_mean,size_med
hyper,EXP_ABL_040_disable-constant-hoisting,10,12.975648,12.970106,0.261779,42872323.650000,42968269.300000,620627.525000,4891.800000,4880.000000,71.750000,48.766435,48.766435,0.000000,173007280.000000,173007280
hyper,EXP_ABL_041_disable-copyprop,10,13.304495,13.311656,0.244862,44016991.950000,44078424.750000,935062.025000,4765.000000,4757.500000,102.250000,48.993683,48.993683,0.000000,173011584.000000,173011584
hyper,EXP_ABL_042_disable-demotion,10,13.090944,13.075686,0.079168,43258851.030000,43249943.100000,203435.225000,4847.900000,4848.500000,23.000000,48.327830,48.327830,0.000000,173009216.000000,173009216
hyper,EXP_ABL_043_disable-gep-const-evaluation,10,13.163897,13.174308,0.208718,43570345.230000,43660606.400000,656508.625000,4813.500000,4803.000000,71.750000,48.270329,48.270329,0.000000,173009216.000000,173009216
hyper,EXP_ABL_044_disable-icp,10,13.231212,13.266799,0.378003,43722144.690000,43836548.550000,1250410.400000,4797.700000,4784.500000,136.250000,48.522638,48.522638,0.000000,173009216.000000,173009216
hyper,EXP_ABL_045_disable-machine-cse,10,13.145769,13.056482,0.325202,43498445.170000,43235866.850000,1169407.050000,4822.000000,4850.000000,130.000000,48.592576,48.592576,0.000000,173012320.000000,173012320
hyper,EXP_ABL_046_disable-machine-dce,10,13.105714,13.100118,0.128287,43267918.580000,43240613.200000,190102.825000,4846.500000,4849.500000,21.250000,48.741344,48.741344,0.000000,173009536.000000,173009536
hyper,EXP_ABL_047_disable-machine-sink,10,13.214551,13.239675,0.146054,43725663.970000,43887943.050000,498938.400000,4796.500000,4778.000000,54.000000,48.619469,48.619469,0.000000,173010144.000000,173010144
hyper,EXP_ABL_048_disable-mergeicmps,10,13.255358,13.267304,0.219782,43822130.380000,43861990.600000,605156.125000,4785.500000,4781.000000,65.750000,48.533350,48.533350,0.000000,173009216.000000,173009216
hyper,EXP_ABL_049_disable-non-allocatable-phys-copy-opt,10,13.284053,13.255071,0.188618,43929105.420000,43808158.950000,785192.225000,4773.800000,4786.500000,85.250000,48.418873,48.418873,0.000000,173009216.000000,173009216
hyper,EXP_ABL_050_disable-phi-elim-edge-splitting,10,13.291049,13.343333,0.260539,43964262.000000,44138611.300000,884379.350000,4770.400000,4750.500000,96.500000,48.401668,48.401668,0.000000,173009264.000000,173009264
hyper,EXP_ABL_051_disable-postra-machine-sink,10,13.135364,13.186811,0.142926,43429747.510000,43524691.300000,440812.950000,4829.000000,4818.000000,49.250000,48.501829,48.501829,0.000000,173009552.000000,173009552
hyper,EXP_ABL_052_disable-preinline,10,13.078379,13.072999,0.412221,43231741.930000,43161490.000000,1322184.875000,4852.400000,4858.500000,147.750000,48.967935,48.967935,0.000000,173009216.000000,173009216
hyper,EXP_ABL_053_disable-select-optimize,10,13.163629,13.157476,0.292840,43523000.780000,43381673.250000,830686.575000,4818.400000,4833.500000,91.750000,48.929373,48.929373,0.000000,173009216.000000,173009216
hyper,EXP_ABL_054_disable-ssc,10,13.056085,13.060596,0.063309,43221478.130000,43234695.300000,387898.800000,4851.900000,4850.000000,44.000000,48.762880,48.762880,0.000000,173012816.000000,173012816
hyper,EXP_ABL_055_disable-type-promotion,10,13.153310,13.121969,0.134332,43461267.300000,43391957.300000,364251.000000,4825.400000,4832.500000,40.250000,48.402524,48.402524,0.000000,173009216.000000,173009216
hyper,EXP_ABL_056_disable-auto-upgrade-debug-info,10,13.266556,13.268325,0.220146,43916680.650000,43899390.700000,837096.625000,4775.300000,4776.500000,91.000000,48.344598,48.344598,0.000000,173009216.000000,173009216
hyper,EXP_ABL_057_disable-bitcode-version-upgrade,10,13.142536,13.064004,0.189976,43457630.240000,43233654.000000,501716.125000,4826.100000,4850.500000,55.500000,48.443237,48.443237,0.000000,173009216.000000,173009216
hyper,EXP_ABL_058_disable-cfi-fixup,10,12.999103,12.919190,0.331089,42952703.840000,42586868.500000,931653.525000,4883.200000,4924.000000,106.250000,48.808661,48.808661,0.000000,173009216.000000,173009216
hyper,EXP_ABL_059_disable-cgdata-for-merging,10,13.093561,13.055744,0.208327,43320365.530000,43235874.900000,632143.650000,4840.900000,4850.000000,70.500000,48.939428,48.939428,0.000000,173009216.000000,173009216
hyper,EXP_ABL_060_disable-global-outlining,10,13.238029,13.305454,0.306976,43787134.420000,44074170.400000,1087198.350000,4789.900000,4757.500000,120.250000,49.373168,49.373168,0.000000,173009216.000000,173009216
hyper,EXP_ABL_061_disable-last-run-tracking,10,13.077400,13.068078,0.369535,43221646.450000,43053535.350000,1315095.575000,4853.300000,4871.000000,148.250000,48.816236,48.816236,0.000000,173009216.000000,173009216
hyper,EXP_ABL_062_disable-layout-fsprofile-loader,10,13.194291,13.179556,0.210984,43694133.100000,43650314.750000,661585.500000,4800.000000,4804.000000,73.500000,48.420429,48.420429,0.000000,173009216.000000,173009216
