Variant,ConfigName,n,runtime_mean,runtime_med,runtime_iqr,compile_mean,compile_med,compile_iqr,size_mean,size_med
eza,EXP_DBL_0766,10,9.331774,9.315658,0.106581,136.732179,136.732179,0.000000,2475744.000000,2475744
eza,EXP_DBL_0767,10,9.305458,9.393868,0.121727,137.132209,137.132209,0.000000,2475552.000000,2475552
eza,EXP_DBL_0768,10,9.363784,9.378956,0.199939,137.092197,137.092197,0.000000,2475680.000000,2475680
eza,EXP_DBL_0769,10,9.267308,9.297902,0.270889,137.851057,137.851057,0.000000,2475680.000000,2475680
eza,EXP_DBL_0770,10,9.080729,9.180891,0.331939,137.369809,137.369809,0.000000,2472096.000000,2472096
eza,EXP_DBL_0771,10,9.316196,9.315486,0.107902,137.818148,137.818148,0.000000,2475680.000000,2475680
eza,EXP_DBL_0772,10,9.369453,9.397246,0.128137,136.867354,136.867354,0.000000,2475680.000000,2475680
eza,EXP_DBL_0773,10,9.373026,9.364339,0.096625,136.594873,136.594873,0.000000,2475680.000000,2475680
eza,EXP_DBL_0774,10,9.273206,9.227498,0.327761,137.290165,137.290165,0.000000,2475680.000000,2475680
eza,EXP_DBL_0775,10,9.181599,9.242362,0.255970,138.571330,138.571330,0.000000,2475680.000000,2475680
eza,EXP_DBL_0776,10,9.230225,9.185164,0.304850,137.387745,137.387745,0.000000,2475680.000000,2475680
eza,EXP_DBL_0777,10,9.355057,9.333975,0.085367,136.990713,136.990713,0.000000,2475680.000000,2475680
eza,EXP_DBL_0778,10,9.299897,9.300804,0.106934,137.715356,137.715356,0.000000,2475680.000000,2475680
eza,EXP_DBL_0779,10,9.177279,9.267564,0.416393,136.701407,136.701407,0.000000,2473888.000000,2473888
eza,EXP_DBL_0780,10,9.219798,9.208427,0.185686,137.047648,137.047648,0.000000,2476096.000000,2476096
eza,EXP_DBL_0781,10,9.234387,9.242138,0.180097,137.786270,137.786270,0.000000,2475680.000000,2475680
eza,EXP_DBL_0782,10,9.289454,9.339740,0.170573,137.314341,137.314341,0.000000,2475680.000000,2475680
eza,EXP_DBL_0783,10,9.386407,9.430639,0.166538,137.323953,137.323953,0.000000,2475680.000000,2475680
eza,EXP_DBL_0784,10,9.273161,9.286237,0.122460,137.263352,137.263352,0.000000,2475680.000000,2475680
eza,EXP_DBL_0785,10,9.262085,9.295103,0.118403,136.797303,136.797303,0.000000,2475680.000000,2475680
eza,EXP_DBL_0786,10,9.180765,9.229780,0.263708,138.097373,138.097373,0.000000,2475680.000000,2475680
eza,EXP_DBL_0787,10,9.081345,9.066600,0.285416,137.260492,137.260492,0.000000,2475488.000000,2475488
eza,EXP_DBL_0788,10,9.292134,9.320864,0.085578,136.480812,136.480812,0.000000,2478112.000000,2478112
eza,EXP_DBL_0789,10,9.362355,9.340657,0.098404,137.044555,137.044555,0.000000,2475680.000000,2475680
eza,EXP_DBL_0790,10,9.299378,9.318800,0.124557,136.947229,136.947229,0.000000,2475680.000000,2475680
eza,EXP_DBL_0791,10,9.133804,9.210701,0.357053,137.100207,137.100207,0.000000,2475680.000000,2475680
eza,EXP_DBL_0792,10,9.086610,9.121426,0.230681,137.050637,137.050637,0.000000,2478016.000000,2478016
eza,EXP_DBL_0793,10,9.251066,9.382520,0.320716,136.929136,136.929136,0.000000,2475296.000000,2475296
eza,EXP_DBL_0794,10,9.363543,9.373545,0.066043,136.616224,136.616224,0.000000,2470496.000000,2470496
eza,EXP_DBL_0795,10,9.261280,9.290015,0.151808,137.045282,137.045282,0.000000,2475680.000000,2475680
eza,EXP_DBL_0796,10,9.258334,9.340746,0.195450,137.376606,137.376606,0.000000,2475680.000000,2475680
eza,EXP_DBL_0797,10,9.139890,9.149676,0.258571,137.056584,137.056584,0.000000,2471712.000000,2471712
eza,EXP_DBL_0798,10,9.180799,9.214692,0.198778,138.161401,138.161401,0.000000,2476256.000000,2476256
eza,EXP_DBL_0799,10,9.286554,9.331543,0.134126,137.794331,137.794331,0.000000,2475680.000000,2475680
eza,EXP_DBL_0800,10,9.398084,9.435931,0.117342,136.883606,136.883606,0.000000,2475680.000000,2475680
eza,EXP_DBL_0801,10,9.359476,9.354745,0.092450,137.571460,137.571460,0.000000,2480320.000000,2480320
eza,EXP_DBL_0802,10,9.250049,9.262607,0.125018,136.807228,136.807228,0.000000,2475680.000000,2475680
