Variant,ConfigName,n,runtime_mean,runtime_med,runtime_iqr,runtime_iqr_ratio,compile_mean,compile_med,compile_iqr,compile_iqr_ratio,size_mean,size_med,run_repeats_med
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_0041,10,6.578697,6.568468,0.211008,0.032124,120.595750,120.595750,0.000000,0.000000,2623104.000000,2623104,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_1584,10,7.056274,7.012785,0.225056,0.032092,135.685185,135.685185,0.000000,0.000000,2621536.000000,2621536,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_0092,10,6.461824,6.474317,0.207714,0.032083,118.105622,118.105622,0.000000,0.000000,2614992.000000,2614992,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_1302,10,6.646584,6.609141,0.211654,0.032024,119.604594,119.604594,0.000000,0.000000,2622536.000000,2622536,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_0149,10,6.571069,6.585917,0.210569,0.031973,122.096878,122.096878,0.000000,0.000000,2621536.000000,2621536,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_1478,10,6.735415,6.737659,0.215043,0.031917,120.161875,120.161875,0.000000,0.000000,2621536.000000,2621536,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_0857,10,7.011765,7.033730,0.224460,0.031912,124.067833,124.067833,0.000000,0.000000,2650288.000000,2650288,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_0015,10,6.610128,6.564627,0.209365,0.031893,123.878311,123.878311,0.000000,0.000000,2621536.000000,2621536,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_0166,10,6.482491,6.474765,0.206480,0.031890,122.605193,122.605193,0.000000,0.000000,2621536.000000,2621536,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_1298,10,6.783548,6.775096,0.216039,0.031887,123.852789,123.852789,0.000000,0.000000,2622536.000000,2622536,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_ABL_062_disable-layout-fsprofile-loader,10,6.471678,6.460347,0.205991,0.031885,124.527544,124.527544,0.000000,0.000000,2621536.000000,2621536,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_0586,10,6.664305,6.624797,0.211177,0.031877,118.683881,118.683881,0.000000,0.000000,2621536.000000,2621536,75
