disabled_mir_count,disabled_llvm_count,disabled_mir,disabled_llvm,runtime,compile_time,size,log_runtime,log_compile_time,log_size
7,6,DataflowConstProp;EarlyOtherwiseBranch;EnumSizeOpt;ImpossiblePredicates;Inline;SingleUseConsts;UnreachablePropagation,cgp-ext-ld-promotion;copyprop;global-outlining;interleaved-load-combine;lsr;phi-elim-edge-splitting,20.09049395506915,37.7569517745937,626642.2947358944,3.000246765636041,3.6311696117103267,13.348131154002841
7,10,DeadStoreElimination-final;ImpossiblePredicates;Inline;InstSimplify-before-inline;JumpThreading;MatchBranchSimplification;ScalarReplacementOfAggregates,advanced-peeling;bitcode-version-upgrade;demotion;interleaved-load-combine;layout-fsprofile-loader;partial-inlining;peephole;post-ra;sample-loader-inlining;strictnode-mutation,31.60824899783649,33.48208947149071,629869.3485667049,3.4534181307620804,3.5110106532166134,13.353267693633388
2,4,DeadStoreElimination-final;ScalarReplacementOfAggregates,cgp;chr;layout-fsprofile-loader;preheader-prot,16.360536873649846,20.81802273194898,627199.6032297827,2.7948721468739257,3.0358190890298973,13.349020115412559
6,11,DeadStoreElimination-initial;ImpossiblePredicates;InstSimplify-after-simplifycfg;MatchBranchSimplification;ReferencePropagation;SingleUseConsts,adv-copy-opt;cgp-ext-ld-promotion;expand-reductions;licm-promotion;machine-cse;machine-sink;partial-inlining;postra-machine-licm;promote-alloca-to-vector;select-optimize;spill-fusing,22.729969198485218,32.081912727418946,624013.6320941863,3.1236842827594957,3.4682924048935537,13.343927493417723
7,10,DeadStoreElimination-final;EarlyOtherwiseBranch;GVN;ImpossiblePredicates;Inline;InstSimplify-before-inline;ScalarReplacementOfAggregates,branch-fold;cgp-delete-phis;complex-addr-modes;demotion;early-ifcvt;ifcvt-simple-false;lsr;machine-licm;select-optimize;spill-fusing,20.43931801875198,33.29933935350211,626705.9397173742,3.017460399747175,3.505537557555427,13.348232713936122
6,5,DataflowConstProp;DeadStoreElimination-final;ImpossiblePredicates;InstSimplify-after-simplifycfg;JumpThreading;UnreachablePropagation,2addr-hack;auto-upgrade-debug-info;ifcvt-triangle-false;phi-elim-edge-splitting;spill-fusing,22.475677216032672,28.795108323280676,626575.3576817594,3.1124337118740333,3.360205522829687,13.348024329694917
6,6,ForceInline;InstSimplify-before-inline;ReferencePropagation;ScalarReplacementOfAggregates;SingleUseConsts;UnreachableEnumBranching,auto-upgrade-debug-info;expand-reductions;nounwind-inference;post-ra;replace-with-vec-lib;type-promotion,17.530684678224052,26.656338426710537,624931.2864601589,2.8639527556846254,3.2830269619839147,13.345396981010765
6,6,DeadStoreElimination-initial;ForceInline;GVN;ImpossiblePredicates;Inline;InstSimplify-before-inline,chr;licm-promotion;loop-idiom-vectorize-bytecmp;phi-elim-edge-splitting;replace-with-vec-lib;whole-program-visibility,18.057874074974144,25.564370959329736,626577.8369841168,2.8935818264959354,3.2411996226876703,13.348028286597183
7,4,DataflowConstProp;EarlyOtherwiseBranch;InstSimplify-after-simplifycfg;InstSimplify-before-inline;MatchBranchSimplification;ReferencePropagation;ScalarReplacementOfAggregates,copyprop;post-ra;postra-machine-licm;spill-fusing,17.857197674279785,39.34372433641794,624931.1978388792,2.882406658001944,3.672336478953204,13.345396839201117
4,8,ImpossiblePredicates;Inline;MatchBranchSimplification;UnreachablePropagation,interleaved-load-combine;loop-idiom-vectorize-bytecmp;nounwind-inference;partial-inlining;preinline;ssc;tail-duplicate;type-promotion,20.831852779991067,21.34854501668818,628668.8673210951,3.0364831989884697,3.060983588251122,13.351359954012059
7,8,DestinationPropagation;ForceInline;ImpossiblePredicates;InstSimplify-after-simplifycfg;InstSimplify-before-inline;JumpThreading;UnreachableEnumBranching,bitcode-version-upgrade;dfa-sched;ifcvt-simple-false;last-run-tracking;non-allocatable-phys-copy-opt;partial-libcall-inlining;strictnode-mutation;thinlto-funcattrs,34.87045107241459,25.144277713827083,625361.9553559956,3.5516397964345376,3.2246303443685336,13.346085889657898
6,6,DeadStoreElimination-initial;EarlyOtherwiseBranch;ImpossiblePredicates;Inline;InstSimplify-before-inline;JumpThreading,binop-extract-shuffle;machine-cse;mergeicmps;partial-inlining;spill-fusing;vp,29.83057241007971,28.161624057114697,629141.5398948082,3.395533787416626,3.337960202109614,13.352111534048687
6,10,CopyProp;GVN;ImpossiblePredicates;Inline;InstSimplify-before-inline;ReferencePropagation,chr;cleanups;dfa-sched;ifcvt-forked-diamond;ifcvt-simple-false;loop-idiom-vectorize-all;nounwind-inference;post-ra;promote-alloca-to-vector;vector-combine,23.688432867429587,31.71562493027965,627554.9400267566,3.1649868643333408,3.4568094594567493,13.349586499982964
6,8,EnumSizeOpt;ImpossiblePredicates;Inline;InstSimplify-before-inline;SingleUseConsts;UnreachablePropagation,cgp-branch-opts;copyprop;ifcvt-forked-diamond;interleaved-load-combine;lsr;mergeicmps;sample-loader-inlining;strictnode-mutation,25.949377187935752,29.5084899286379,626610.6354862999,3.2561476088589782,3.384678016132085,13.348080630682547
7,7,DataflowConstProp;GVN;ImpossiblePredicates;Inline;InstSimplify-after-simplifycfg;InstSimplify-before-inline;JumpThreading,cgp-delete-phis;cgp-select2branch;cleanups;interleaved-load-combine;loop-idiom-vectorize-all;memop-opt;post-ra,27.99128383849666,29.039573128591982,628107.6034292141,3.331893170231691,3.368659490419907,13.350466773812943
5,6,CopyProp;DataflowConstProp;InstSimplify-after-simplifycfg;MatchBranchSimplification;SingleUseConsts,cgp-select2branch;memop-opt;nounwind-inference;preinline;replace-with-vec-lib;vp,18.298150078563026,23.82495347034996,625609.5174907307,2.906799966134465,3.1707334965624914,13.34648168147784
2,4,ReferencePropagation;UnreachablePropagation,branch-fold;cgp;replace-with-vec-lib;thinlto-funcattrs,16.924424026227584,16.3645810321488,627334.9685636602,2.8287577872726013,2.795119306167969,13.349235917093033
7,5,DestinationPropagation;GVN;Inline;JumpThreading;ScalarReplacementOfAggregates;SingleUseConsts;UnreachableEnumBranching,block-placement;dfa-sched;early-ifcvt;early-taildup;loop-idiom-vectorize-bytecmp,16.84954227121754,30.666715373818047,625150.4096590843,2.824323491516492,3.4231778766563448,13.345747555220195
2,4,CopyProp;JumpThreading,complex-addr-modes;memop-opt;mr-partial-inlining;tail-calls,18.608281277150848,19.448912158502967,627311.7200249971,2.9236067115880555,2.9677911383462168,13.349198857195809
6,7,CopyProp;ImpossiblePredicates;JumpThreading;ReferencePropagation;UnreachableEnumBranching;UnreachablePropagation,auto-upgrade-debug-info;branch-fold;constant-hoisting;layout-fsprofile-loader;preinline;spill-fusing;type-promotion,24.517670802652756,24.774333913478465,626391.1404948187,3.1993941148208043,3.209808194424903,13.34773028003192
