Variant,ConfigName,n,runtime_med,runtime_iqr,compile_med,compile_iqr,size_med,alloca_med,load_med,store_med,gep_med,phi_med,bb_med
B,EXP_DBL_1645,10,4.494914,0.042571,0.563772,0.016269,452288,15,74,28,69,699,8
B,EXP_DBL_1646,10,4.491139,0.045114,0.563553,0.011573,452288,15,74,28,69,699,8
B,EXP_DBL_1647,10,4.500148,0.041288,0.565621,0.008027,452288,15,74,28,69,699,8
B,EXP_DBL_1648,10,4.488370,0.049891,0.566529,0.011679,452288,15,74,28,69,699,8
B,EXP_DBL_1649,10,4.205249,0.026261,0.563620,0.009573,452432,15,74,28,69,699,8
B,EXP_DBL_1650,10,4.494727,0.055792,0.561209,0.012520,452288,15,74,28,69,699,8
B,EXP_DBL_1651,10,4.503718,0.028175,0.567703,0.005414,452288,15,74,28,69,699,8
B,EXP_DBL_1652,10,4.492362,0.039299,0.565968,0.006052,452288,15,74,28,69,699,8
B,EXP_DBL_1653,10,4.515162,0.032309,0.563489,0.009307,452288,15,74,28,69,699,8
B,EXP_DBL_1654,10,4.498409,0.026659,0.566399,0.015821,452288,15,74,28,69,699,8
B,EXP_DBL_1655,10,4.496081,0.024864,0.566554,0.011577,452288,15,74,28,69,699,8
B,EXP_DBL_1656,10,4.490736,0.028609,0.564172,0.006724,452288,15,74,28,69,699,8
B,EXP_DBL_1657,10,4.403250,0.028841,0.562463,0.006754,452576,15,74,28,69,699,8
B,EXP_DBL_1658,10,4.490017,0.038513,0.561222,0.008543,452288,15,74,28,69,699,8
B,EXP_DBL_1659,10,4.435714,0.021746,0.561268,0.012318,452384,15,74,28,69,699,8
B,EXP_DBL_1660,10,4.475479,0.051919,0.563057,0.015135,452288,15,74,28,69,699,8
L,EXP_DBL_1540,10,4.184569,0.016014,0.556768,0.020432,452256,15,74,28,69,699,8
L,EXP_DBL_1541,10,4.409162,0.024810,0.554976,0.016355,452288,15,74,28,69,699,8
L,EXP_DBL_1542,10,4.404419,0.028951,0.557507,0.009191,452288,15,74,28,69,699,8
L,EXP_DBL_1543,10,4.417405,0.038802,0.555358,0.013113,452288,15,74,28,69,699,8
L,EXP_DBL_1544,10,4.269125,0.029295,0.551654,0.011620,451840,15,74,28,69,699,8
L,EXP_DBL_1545,10,4.124284,0.034515,0.554782,0.004350,452272,15,74,28,69,699,8
L,EXP_DBL_1546,10,4.419118,0.028896,0.554377,0.009082,452288,15,74,28,69,699,8
L,EXP_DBL_1547,10,4.414827,0.026559,0.558698,0.005234,452288,15,74,28,69,699,8
L,EXP_DBL_1548,10,4.143444,0.026238,0.556862,0.012604,452336,15,74,28,69,699,8
L,EXP_DBL_1549,10,4.406426,0.027771,0.559490,0.008310,452288,15,74,28,69,699,8
L,EXP_DBL_1550,10,4.386241,0.026132,0.557022,0.006258,452288,15,74,28,69,699,8
L,EXP_DBL_1551,10,4.395223,0.013117,0.558034,0.008059,452288,15,74,28,69,699,8
L,EXP_DBL_1552,10,4.397827,0.025722,0.554551,0.013856,452288,15,74,28,69,699,8
L,EXP_DBL_1553,10,4.410595,0.018687,0.558690,0.008794,452288,15,74,28,69,699,8
L,EXP_DBL_1554,10,4.396591,0.016020,0.553856,0.013305,452288,15,74,28,69,699,8
L,EXP_DBL_1555,10,4.409873,0.022459,0.559891,0.010210,452288,15,74,28,69,699,8
