Variant,ConfigName,n,runtime_med,runtime_iqr,runtime_iqr_ratio,compile_med,compile_iqr,compile_iqr_ratio,size_med
L,EXP_DBL_1633,10,4.414986,0.044695,0.010123,0.562790,0.014588,0.025921,452288
L,EXP_DBL_1581,10,4.435213,0.044779,0.010096,0.565817,0.010375,0.018336,452288
S,EXP_DBL_1648,10,4.120608,0.041433,0.010055,0.566529,0.011679,0.020615,452288
B,EXP_DBL_1646,10,4.491139,0.045114,0.010045,0.563553,0.011573,0.020536,452288
B,EXP_DBL_1606,10,4.497412,0.045048,0.010016,0.565085,0.010800,0.019112,452288
L,EXP_DBL_1627,10,4.305012,0.042996,0.009987,0.561061,0.014093,0.025118,451840
B,EXP_DBL_1628,10,4.650391,0.046416,0.009981,0.566712,0.004551,0.008031,452272
L,EXP_DBL_1605,10,4.450983,0.043940,0.009872,0.566819,0.006988,0.012328,452288
L,EXP_DBL_1632,10,4.420573,0.043597,0.009862,0.564043,0.008950,0.015868,452288
B,EXP_DBL_1558,10,4.374422,0.042775,0.009778,0.559455,0.018766,0.033543,452320
S,EXP_DBL_1634,10,4.082634,0.039597,0.009699,0.567334,0.013815,0.024351,452288
B,EXP_DBL_1568,10,4.474834,0.043070,0.009625,0.548323,0.018347,0.033460,452288
B,EXP_DBL_1582,10,4.511732,0.043406,0.009621,0.568437,0.013165,0.023160,452288
L,EXP_DBL_1557,10,4.387033,0.041765,0.009520,0.558121,0.003779,0.006771,452288
B,EXP_DBL_1625,10,4.488152,0.042556,0.009482,0.567152,0.008356,0.014733,452288
B,EXP_DBL_1645,10,4.494914,0.042571,0.009471,0.563772,0.016269,0.028857,452288
B,EXP_DBL_1548,10,4.210125,0.039841,0.009463,0.556862,0.012604,0.022634,452336
B,EXP_DBL_1605,10,4.499317,0.042408,0.009425,0.566819,0.006988,0.012328,452288
L,EXP_DBL_1564,10,4.461047,0.041912,0.009395,0.556266,0.014643,0.026324,452288
B,EXP_DBL_1584,10,4.499863,0.042213,0.009381,0.564680,0.010176,0.018021,452288
L,EXP_DBL_1577,10,4.443222,0.041615,0.009366,0.561584,0.009796,0.017444,452288
L,EXP_DBL_1615,10,4.468346,0.041235,0.009228,0.567555,0.015194,0.026771,452288
L,EXP_DBL_1653,10,4.445011,0.040882,0.009197,0.563489,0.009307,0.016517,452288
B,EXP_DBL_1627,10,4.058194,0.037318,0.009196,0.561061,0.014093,0.025118,451840
S,EXP_DBL_1561,10,4.036163,0.037081,0.009187,0.543721,0.015374,0.028276,452288
B,EXP_DBL_1647,10,4.500148,0.041288,0.009175,0.565621,0.008027,0.014191,452288
L,EXP_DBL_1626,10,4.418031,0.040513,0.009170,0.559802,0.012891,0.023028,452288
L,EXP_DBL_1561,10,4.396883,0.040201,0.009143,0.543721,0.015374,0.028276,452288
B,EXP_DBL_1631,10,4.245398,0.038455,0.009058,0.566183,0.008285,0.014633,452336
B,EXP_DBL_1635,10,4.507523,0.040738,0.009038,0.564841,0.009391,0.016626,452288
S,EXP_DBL_1602,10,4.110010,0.037107,0.009028,0.561554,0.012839,0.022863,452288
B,EXP_DBL_1563,10,4.471691,0.039976,0.008940,0.546301,0.011989,0.021946,452288
