Variant,ConfigName,n,runtime_mean,runtime_med,runtime_iqr,runtime_iqr_ratio,compile_mean,compile_med,compile_iqr,compile_iqr_ratio,size_mean,size_med
quinn,EXP_DBL_0904,10,5.505433,5.475510,0.128538,0.023475,49.791588,49.791588,0.000000,0.000000,89353520.000000,89353520
quinn,EXP_ABL_068_disable-thinlto-funcattrs,10,5.819554,5.785132,0.135549,0.023431,50.308975,50.308975,0.000000,0.000000,89742872.000000,89742872
quinn,EXP_DBL_0788,10,5.846441,5.820044,0.136325,0.023423,50.771915,50.771915,0.000000,0.000000,89737736.000000,89737736
quinn,EXP_DBL_0618,10,5.551556,5.533573,0.129600,0.023421,50.293340,50.293340,0.000000,0.000000,89742960.000000,89742960
quinn,EXP_DBL_0073,10,5.601058,5.601635,0.131104,0.023405,48.829533,48.829533,0.000000,0.000000,90062224.000000,90062224
quinn,EXP_DBL_0460,10,5.580642,5.594188,0.130797,0.023381,51.095607,51.095607,0.000000,0.000000,89847776.000000,89847776
quinn,EXP_DBL_1340,10,5.492257,5.488493,0.128278,0.023372,50.084986,50.084986,0.000000,0.000000,89797976.000000,89797976
quinn,EXP_DBL_0011,10,5.602182,5.578774,0.130305,0.023357,50.832582,50.832582,0.000000,0.000000,90062960.000000,90062960
quinn,EXP_DBL_0684,10,5.475037,5.483125,0.127981,0.023341,48.730144,48.730144,0.000000,0.000000,90354208.000000,90354208
quinn,EXP_DBL_1289,10,5.616234,5.597491,0.130549,0.023323,57.348036,57.348036,0.000000,0.000000,90227848.000000,90227848
quinn,EXP_DBL_0895,10,5.598107,5.590459,0.130342,0.023315,51.698601,51.698601,0.000000,0.000000,89339072.000000,89339072
quinn,EXP_DBL_1642,10,5.729791,5.699565,0.132785,0.023297,55.310866,55.310866,0.000000,0.000000,89742872.000000,89742872
quinn,EXP_DBL_0004,10,5.630257,5.668315,0.132046,0.023295,50.671690,50.671690,0.000000,0.000000,90062224.000000,90062224
quinn,EXP_DBL_1549,10,5.720371,5.728923,0.133202,0.023251,54.366205,54.366205,0.000000,0.000000,89760288.000000,89760288
quinn,EXP_DBL_0070,10,5.599017,5.577927,0.129471,0.023211,49.282411,49.282411,0.000000,0.000000,90062224.000000,90062224
quinn,EXP_DBL_1100,10,5.591807,5.610615,0.130196,0.023205,61.379219,61.379219,0.000000,0.000000,90214376.000000,90214376
quinn,EXP_DBL_0383,10,5.613066,5.605443,0.129916,0.023177,50.063978,50.063978,0.000000,0.000000,89770896.000000,89770896
quinn,EXP_DBL_1221,10,5.689609,5.673528,0.131220,0.023128,61.971732,61.971732,0.000000,0.000000,90022992.000000,90022992
