Variant,ConfigName,n,runtime_mean,runtime_med,runtime_iqr,compile_mean,compile_med,compile_iqr,size_mean,size_med,alloca_mean,alloca_med,load_mean,load_med,store_mean,store_med,gep_mean,gep_med,phi_mean,phi_med,bb_mean,bb_med
regex-cli,EXP_ABL_028_disable-ifcvt-triangle,10,3.741305,3.722017,0.074862,40.869119,40.889609,0.763010,34529072.000000,34529072,4618.000000,4618,12288.000000,12288,11873.000000,11873,17003.000000,17003,5922.000000,5922,1131.000000,1131
regex-cli,EXP_ABL_029_disable-ifcvt-triangle-false,10,3.758420,3.761627,0.080901,40.804830,40.754682,0.317248,34529072.000000,34529072,4618.000000,4618,12288.000000,12288,11873.000000,11873,17003.000000,17003,5922.000000,5922,1131.000000,1131
regex-cli,EXP_ABL_030_disable-ifcvt-triangle-rev,10,3.752687,3.748841,0.079550,40.840428,40.869879,0.297055,34529072.000000,34529072,4618.000000,4618,12288.000000,12288,11873.000000,11873,17003.000000,17003,5922.000000,5922,1131.000000,1131
regex-cli,EXP_ABL_031_disable-tail-calls,10,3.755771,3.757551,0.071528,40.686614,40.565314,0.255864,34529072.000000,34529072,4618.000000,4618,12288.000000,12288,11873.000000,11873,17003.000000,17003,5922.000000,5922,1131.000000,1131
regex-cli,EXP_ABL_032_disable-tail-duplicate,10,3.779610,3.765583,0.093630,41.238220,41.200511,0.266383,34520520.000000,34520520,4618.000000,4618,12288.000000,12288,11873.000000,11873,17003.000000,17003,5922.000000,5922,1131.000000,1131
regex-cli,EXP_ABL_033_disable-cgp-ext-ld-promotion,10,3.794793,3.803068,0.063573,41.337379,41.256524,0.627993,34537760.000000,34537760,4618.000000,4618,12288.000000,12288,11873.000000,11873,17003.000000,17003,5922.000000,5922,1131.000000,1131
regex-cli,EXP_ABL_034_disable-cgp-store-extract,10,3.758264,3.763246,0.073057,41.235972,41.202389,0.159204,34529072.000000,34529072,4618.000000,4618,12288.000000,12288,11873.000000,11873,17003.000000,17003,5922.000000,5922,1131.000000,1131
regex-cli,EXP_ABL_035_disable-memop-opt,10,3.746238,3.728599,0.128783,41.349860,41.382925,0.381476,34529072.000000,34529072,4618.000000,4618,12288.000000,12288,11873.000000,11873,17003.000000,17003,5922.000000,5922,1131.000000,1131
regex-cli,EXP_ABL_036_disable-separate-const-offset-from-gep,10,3.739143,3.714427,0.081251,41.349171,41.342955,0.624198,34529072.000000,34529072,4618.000000,4618,12288.000000,12288,11873.000000,11873,17003.000000,17003,5922.000000,5922,1131.000000,1131
regex-cli,EXP_ABL_037_disable-adv-copy-opt,10,3.758512,3.752849,0.080111,41.255267,41.351046,0.352026,34530320.000000,34530320,4618.000000,4618,12288.000000,12288,11873.000000,11873,17003.000000,17003,5922.000000,5922,1131.000000,1131
