Variant,ConfigName,n,runtime_mean,runtime_med,runtime_iqr,runtime_iqr_ratio,compile_mean,compile_med,compile_iqr,compile_iqr_ratio,size_mean,size_med
regex-cli,EXP_DBL_0442,10,3.726238,3.706669,0.100913,0.027225,40.846214,40.942834,0.322959,0.007888,34528976.000000,34528976
regex-cli,EXP_DBL_1509,10,3.788545,3.794628,0.103295,0.027221,40.815823,40.790531,0.340616,0.008350,34505576.000000,34505576
regex-cli,EXP_DBL_1431,10,3.765649,3.742371,0.101855,0.027217,41.179532,41.195082,0.285300,0.006926,34508648.000000,34508648
regex-cli,EXP_DBL_0344,10,3.806799,3.821721,0.103859,0.027176,41.298663,41.392643,0.599525,0.014484,34511088.000000,34511088
regex-cli,EXP_DBL_0755,10,3.755166,3.722034,0.100907,0.027111,40.528859,40.550272,0.485026,0.011961,34529528.000000,34529528
regex-cli,EXP_DBL_0096,10,3.806102,3.781837,0.102420,0.027082,42.044220,42.062257,0.531217,0.012629,34579216.000000,34579216
regex-cli,EXP_DBL_0794,10,3.829633,3.838275,0.103929,0.027077,40.533356,40.550856,0.269447,0.006645,34700816.000000,34700816
regex-cli,EXP_DBL_0577,10,3.748208,3.749369,0.101482,0.027066,41.564039,41.609870,0.394878,0.009490,34529072.000000,34529072
regex-cli,EXP_DBL_0575,10,3.761782,3.769934,0.102021,0.027062,41.174270,41.250056,0.178195,0.004320,34529072.000000,34529072
regex-cli,EXP_DBL_0251,10,3.792396,3.774093,0.102073,0.027046,41.194192,41.163790,0.668155,0.016232,34502080.000000,34502080
regex-cli,EXP_DBL_1619,10,3.766634,3.790927,0.102501,0.027039,40.675551,40.729580,0.339791,0.008343,34529072.000000,34529072
regex-cli,EXP_DBL_0997,10,3.755652,3.764561,0.101752,0.027029,40.574756,40.595768,0.405222,0.009982,34533336.000000,34533336
regex-cli,EXP_DBL_1044,10,3.757336,3.780986,0.102159,0.027019,40.546009,40.588306,0.630576,0.015536,34533336.000000,34533336
regex-cli,EXP_DBL_1545,10,3.797589,3.815085,0.102947,0.026984,41.882582,41.889505,0.233460,0.005573,34485328.000000,34485328
