Variant,ConfigName,n,runtime_med,compile_med,size_med,alloca_med,load_med,store_med,gep_med,phi_med,bb_med
A,EXP_DBL_0050,3,3.305991,0.979842,449952,17,65,31,54,71,13
A,EXP_DBL_0051,3,3.897551,1.456251,449968,17,65,31,54,71,13
A,EXP_DBL_0052,3,3.237149,0.940775,449968,17,65,31,54,71,13
A,EXP_DBL_0053,3,4.310276,0.993725,449968,17,65,31,54,71,13
A,EXP_DBL_0054,3,3.594388,1.035069,449968,17,65,31,54,71,13
A,EXP_DBL_0055,3,4.384381,1.572991,449968,17,65,31,54,71,13
A,EXP_DBL_0056,3,4.850957,1.578450,449968,17,65,31,54,71,13
A,EXP_DBL_0057,3,3.640278,1.475282,449968,17,65,31,54,71,13
A,EXP_DBL_0058,3,3.903330,1.621872,449968,17,65,31,54,71,13
A,EXP_DBL_0059,3,4.523768,1.543279,449968,17,65,31,54,71,13
A,EXP_DBL_0060,3,4.865294,1.613335,449968,17,65,31,54,71,13
A,EXP_DBL_0061,3,4.824374,1.514931,449968,17,65,31,54,71,13
A,EXP_DBL_0062,3,4.788260,1.531789,449968,17,65,31,54,71,13
A,EXP_DBL_0063,3,4.621908,1.083187,449968,17,65,31,54,71,13
A,EXP_DBL_0064,3,4.460722,0.994589,450000,17,65,31,54,71,13
A,EXP_DBL_0065,3,4.757456,1.158354,449968,17,65,31,54,71,13
A,EXP_DBL_0066,3,3.378762,0.989641,449968,17,65,31,54,71,13
A,EXP_DBL_0067,3,4.514746,1.529336,449968,17,65,31,54,71,13
A,EXP_DBL_0068,3,4.563190,1.351884,449968,17,65,31,54,71,13
A,EXP_DBL_0069,3,4.572304,0.986552,449968,17,65,31,54,71,13
A,EXP_DBL_0070,3,3.347580,0.965177,449968,17,65,31,54,71,13
A,EXP_DBL_0071,3,4.464746,0.923566,449968,17,65,31,54,71,13
A,EXP_DBL_0072,3,3.369822,1.020974,449984,17,65,31,54,71,13
A,EXP_DBL_0073,3,4.553664,0.937829,449968,17,65,31,54,71,13
A,EXP_DBL_0074,3,3.594898,0.915309,449968,17,65,31,54,71,13
A,EXP_DBL_0075,3,3.835612,1.191487,449968,17,65,31,54,71,13
A,EXP_DBL_0076,3,2.100020,0.760947,449968,17,65,31,54,71,13
A,EXP_DBL_0077,3,3.260671,0.913734,449968,17,65,31,54,71,13
A,EXP_DBL_0078,3,4.535104,1.377501,449968,17,65,31,54,71,13
A,EXP_DBL_0079,3,4.644036,1.287884,449968,17,65,31,54,71,13
A,EXP_DBL_0080,3,4.430245,1.000076,450144,17,65,31,54,71,13
A,EXP_DBL_0081,3,3.445663,0.945024,449968,17,65,31,54,71,13
A,EXP_DBL_0082,3,4.817016,1.514968,449984,17,65,31,54,71,13
A,EXP_DBL_0083,3,3.408633,0.950786,449968,17,65,31,54,71,13
A,EXP_DBL_0084,3,3.349350,0.964063,449968,17,65,31,54,71,13
A,EXP_DBL_0085,3,3.314297,1.005450,449968,17,65,31,54,71,13
A,EXP_DBL_0086,3,4.703918,1.569109,449968,17,65,31,54,71,13
A,EXP_DBL_0087,3,3.247759,5.329780,449968,17,65,31,54,71,13
A,EXP_DBL_0088,3,4.777888,1.621865,449968,17,65,31,54,71,13
A,EXP_DBL_0089,3,4.390435,1.560582,449968,17,65,31,54,71,13
A,EXP_DBL_0090,3,4.155623,1.157856,449968,17,65,31,54,71,13
A,EXP_DBL_0091,3,3.334984,0.920095,449968,17,65,31,54,71,13
A,EXP_DBL_0092,3,3.398800,0.985318,449968,17,65,31,54,71,13
A,EXP_DBL_0093,3,3.729778,1.250474,449968,17,65,31,54,71,13
A,EXP_DBL_0094,3,3.586528,0.994649,449968,17,65,31,54,71,13
A,EXP_DBL_0095,3,4.731206,1.437030,449968,17,65,31,54,71,13
A,EXP_DBL_0096,3,4.453414,1.484273,449984,17,65,31,54,71,13
A,EXP_DBL_0097,3,4.582596,1.645266,449888,17,65,31,54,71,13
A,EXP_DBL_0098,3,4.902133,1.101741,449968,17,65,31,54,71,13
A,EXP_DBL_0099,3,4.418903,0.959926,449968,17,65,31,54,71,13
A,EXP_DBL_0100,3,4.459417,1.210017,449856,17,65,31,54,71,13
A,EXP_DBL_0101,3,3.405174,0.925518,449952,17,65,31,54,71,13
A,EXP_DBL_0102,3,4.532385,1.486205,449968,17,65,31,54,71,13
A,EXP_DBL_0103,3,3.619832,1.419026,449968,17,65,31,54,71,13
A,EXP_DBL_0104,3,2.128221,0.854351,449968,17,65,31,54,71,13
A,EXP_DBL_0105,3,4.714157,1.487228,449968,17,65,31,54,71,13
A,EXP_DBL_0106,3,4.500172,1.114911,449968,17,65,31,54,71,13
A,EXP_DBL_0107,3,4.736242,1.089762,449968,17,65,31,54,71,13
A,EXP_DBL_0108,3,3.422590,1.046103,449968,17,65,31,54,71,13
A,EXP_DBL_0109,3,4.420184,1.455333,449968,17,65,31,54,71,13
A,EXP_DBL_0110,3,3.700186,1.358485,449968,17,65,31,54,71,13
A,EXP_DBL_0111,3,3.289837,0.967381,449968,17,65,31,54,71,13
A,EXP_DBL_0112,3,4.723133,1.313306,449968,17,65,31,54,71,13
A,EXP_DBL_0113,3,3.952642,1.191905,449968,17,65,31,54,71,13
A,EXP_DBL_0114,3,3.726964,1.035966,449968,17,65,31,54,71,13
A,EXP_DBL_0115,3,3.624380,1.534680,449968,17,65,31,54,71,13
A,EXP_DBL_0116,3,4.669972,1.054993,449968,17,65,31,54,71,13
A,EXP_DBL_0117,3,4.742443,1.493034,449968,17,65,31,54,71,13
A,EXP_DBL_0118,3,3.299925,0.899034,449968,17,65,31,54,71,13
A,EXP_DBL_0119,3,4.556838,1.041898,449968,17,65,31,54,71,13
