Variant,ConfigName,n,wall_mean,wall_med,wall_iqr,ns_mean,ns_med,ns_iqr,ns_iqr_ratio,mbps_mean,mbps_med,mbps_iqr,compile_mean,compile_med,compile_iqr,compile_iqr_ratio,size_mean,size_med
tokio,EXP_DBL_0471,10,10.037889,10.048697,0.065083,877.788000,876.255000,5.067500,0.005783,,,,58.577144,58.577144,0.000000,0.000000,4041376.000000,4041376
tokio,EXP_DBL_1470,10,10.113357,10.115465,0.026847,890.662000,892.340000,5.120000,0.005738,,,,60.569999,60.569999,0.000000,0.000000,4042528.000000,4042528
tokio,EXP_DBL_0920,10,10.248554,10.246918,0.105594,890.693000,884.770000,5.035000,0.005691,,,,62.456058,62.456058,0.000000,0.000000,4046360.000000,4046360
tokio,EXP_DBL_0153,10,10.053641,10.049326,0.083899,886.314000,876.045000,4.975000,0.005679,,,,59.092972,59.092972,0.000000,0.000000,4041368.000000,4041368
tokio,EXP_ABL_014_JumpThreading,10,10.241835,10.257503,0.039229,873.201000,871.220000,4.937500,0.005667,,,,61.120217,61.120217,0.000000,0.000000,4047664.000000,4047664
tokio,EXP_DBL_0922,10,10.286736,10.289053,0.091530,885.121000,882.195000,4.967500,0.005631,,,,61.629297,61.629297,0.000000,0.000000,4037840.000000,4037840
tokio,EXP_DBL_1266,10,10.093860,10.072128,0.070437,878.844000,875.575000,4.927500,0.005628,,,,59.960402,59.960402,0.000000,0.000000,4050376.000000,4050376
tokio,EXP_DBL_0227,10,10.029535,10.029740,0.043019,878.298000,875.785000,4.925000,0.005624,,,,59.250400,59.250400,0.000000,0.000000,4041304.000000,4041304
tokio,EXP_DBL_0543,10,10.022273,10.007032,0.037063,879.174000,879.340000,4.927500,0.005604,,,,59.157122,59.157122,0.000000,0.000000,4044088.000000,4044088
tokio,EXP_DBL_1359,10,10.107725,10.085971,0.046878,874.853000,873.830000,4.877500,0.005582,,,,60.634686,60.634686,0.000000,0.000000,4045544.000000,4045544
tokio,EXP_DBL_0865,10,9.710544,9.436520,0.787066,951.302000,950.290000,5.285000,0.005561,,,,62.714160,62.714160,0.000000,0.000000,4108264.000000,4108264
tokio,EXP_DBL_0640,10,10.046687,10.027826,0.062487,877.845000,876.400000,4.852500,0.005537,,,,58.852678,58.852678,0.000000,0.000000,4041368.000000,4041368
tokio,EXP_DBL_1009,10,10.260057,10.063318,0.186039,886.500000,885.750000,4.902500,0.005535,,,,56.251347,56.251347,0.000000,0.000000,4034152.000000,4034152
tokio,EXP_DBL_0555,10,10.119432,10.012317,0.057878,885.450000,880.625000,4.870000,0.005530,,,,59.015206,59.015206,0.000000,0.000000,4041368.000000,4041368
tokio,EXP_DBL_0498,10,10.024458,10.010395,0.067016,881.164000,878.675000,4.832500,0.005500,,,,58.554515,58.554515,0.000000,0.000000,4041376.000000,4041376
tokio,EXP_DBL_1574,10,10.087400,10.069025,0.078081,888.532000,878.170000,4.812500,0.005480,,,,60.592384,60.592384,0.000000,0.000000,4086224.000000,4086224
tokio,EXP_DBL_1201,10,10.050613,10.061640,0.040126,877.982000,878.720000,4.800000,0.005462,,,,59.518794,59.518794,0.000000,0.000000,4037448.000000,4037448
tokio,EXP_DBL_0440,10,10.042907,10.034986,0.061379,881.087000,874.100000,4.747500,0.005431,,,,59.239848,59.239848,0.000000,0.000000,4041376.000000,4041376
tokio,EXP_DBL_1272,10,10.072381,10.067257,0.060640,878.528000,876.790000,4.717500,0.005380,,,,60.604300,60.604300,0.000000,0.000000,4050376.000000,4050376
tokio,EXP_DBL_0367,10,10.110775,10.101917,0.065225,878.094000,875.750000,4.690000,0.005355,,,,59.685029,59.685029,0.000000,0.000000,4047896.000000,4047896
tokio,EXP_DBL_0573,10,10.143296,10.028257,0.077205,886.719000,883.410000,4.730000,0.005354,,,,59.117694,59.117694,0.000000,0.000000,4041368.000000,4041368
tokio,EXP_DBL_0530,10,10.033342,10.030021,0.089275,877.215000,876.545000,4.687500,0.005348,,,,58.615114,58.615114,0.000000,0.000000,4039384.000000,4039384
tokio,EXP_DBL_0401,10,10.115541,10.092263,0.040296,890.599000,881.095000,4.665000,0.005295,,,,59.620641,59.620641,0.000000,0.000000,4047896.000000,4047896
tokio,EXP_DBL_0760,10,10.027125,10.018872,0.084929,877.701000,877.220000,4.642500,0.005292,,,,57.026807,57.026807,0.000000,0.000000,4034136.000000,4034136
tokio,EXP_DBL_0384,10,10.098164,10.083646,0.094007,886.717000,887.310000,4.680000,0.005274,,,,60.827005,60.827005,0.000000,0.000000,4047896.000000,4047896
tokio,EXP_DBL_0250,10,9.972730,10.025852,0.065469,898.293000,882.265000,4.632500,0.005251,,,,58.477031,58.477031,0.000000,0.000000,4056696.000000,4056696
